time step,id,x,y,z
61,1205,0.251128,0.301623,0.320938
61,1207,0.456756,0.0356365,0.510414
61,1203,0.0133637,0.51133,0.106996
61,1204,0.934863,0.656945,0.496003
61,1210,0.894662,0.819994,0.361214
61,1208,0.774255,0.801544,0.0212146
61,1201,0.240417,0.435042,0.773003
61,1202,0.419422,0.8753,0.673479
61,1206,0.343844,0.90531,0.871278
61,1209,0.437786,0.651413,0.92477
62,1205,0.251075,0.301637,0.320949
62,1207,0.456755,0.0356208,0.510427
62,1203,0.0133666,0.511337,0.106984
62,1204,0.934835,0.656961,0.49606
62,1210,0.894703,0.820002,0.361202
62,1208,0.774294,0.801507,0.0212437
62,1201,0.240413,0.435068,0.773053
62,1202,0.419415,0.875296,0.673454
62,1206,0.343852,0.905293,0.871278
62,1209,0.437754,0.651382,0.924756
63,1205,0.251022,0.301652,0.320959
63,1207,0.456755,0.0356049,0.51044
63,1203,0.0133693,0.511345,0.106972
63,1204,0.934807,0.656977,0.496118
63,1210,0.894744,0.82001,0.361189
63,1208,0.774333,0.801469,0.0212732
63,1201,0.240408,0.435094,0.773102
63,1202,0.419407,0.875292,0.673429
63,1206,0.343861,0.905276,0.871277
63,1209,0.437722,0.651351,0.924741
64,1205,0.250969,0.301666,0.32097
64,1207,0.456755,0.0355888,0.510452
64,1203,0.0133718,0.511353,0.10696
64,1204,0.934779,0.656993,0.496175
64,1210,0.894786,0.820018,0.361177
64,1208,0.774373,0.801431,0.0213032
64,1201,0.240404,0.43512,0.773152
64,1202,0.4194,0.875287,0.673404
64,1206,0.34387,0.90526,0.871276
64,1209,0.43769,0.651321,0.924727
65,1205,0.250916,0.301681,0.320981
65,1207,0.456756,0.0355725,0.510465
65,1203,0.0133742,0.511361,0.106947
65,1204,0.934751,0.657008,0.496232
65,1210,0.894827,0.820027,0.361164
65,1208,0.774412,0.801394,0.0213336
65,1201,0.240399,0.435146,0.773201
65,1202,0.419391,0.875283,0.67338
65,1206,0.34388,0.905244,0.871274
65,1209,0.437659,0.65129,0.924712
66,1205,0.250862,0.301696,0.320991
66,1207,0.456757,0.035556,0.510478
66,1203,0.0133764,0.511369,0.106934
66,1204,0.934724,0.657024,0.496289
66,1210,0.894868,0.820035,0.361151
66,1208,0.774452,0.801356,0.0213645
66,1201,0.240394,0.435172,0.773251
66,1202,0.419383,0.875278,0.673355
66,1206,0.34389,0.905228,0.871273
66,1209,0.437627,0.651261,0.924698
67,1205,0.250809,0.30171,0.321002
67,1207,0.456759,0.0355393,0.510491
67,1203,0.0133784,0.511377,0.10692
67,1204,0.934696,0.657039,0.496346
67,1210,0.894909,0.820043,0.361137
67,1208,0.774492,0.801318,0.0213959
67,1201,0.240388,0.435198,0.7733
67,1202,0.419375,0.875274,0.67333
67,1206,0.343901,0.905212,0.871271
67,1209,0.437595,0.651231,0.924683
68,1205,0.250755,0.301725,0.321013
68,1207,0.456761,0.0355224,0.510503
68,1203,0.0133803,0.511386,0.106906
68,1204,0.934669,0.657054,0.496402
68,1210,0.894949,0.820051,0.361124
68,1208,0.774533,0.801279,0.0214276
68,1201,0.240383,0.435224,0.77335
68,1202,0.419366,0.875269,0.673305
